Anexo;Segmento;item;CEST;NCM;Descri??o
II;AUTOPE?AS;10;100100;3815.12.10 3815.12.90;Catalisadores em colmeia cer?mica ou met?lica para convers?o catal?tica de gases de escape de ve?culos e outros catalisadores
II;AUTOPE?AS;20;100200;3917;Tubos e seus acess?rios (por exemplo, juntas, cotovelos, flanges, uni?es), de pl?sticos
II;AUTOPE?AS;30;100300;3918.10.00;Protetores de ca?amba
II;AUTOPE?AS;40;100400;3923.30.00;Reservat?rios de ?leo
II;AUTOPE?AS;50;100500;3926.30.00;Frisos, decalques, molduras e acabamentos
II;AUTOPE?AS;60;100600;4010.3 5910.00.00;Correias de transmiss?o de borracha vulcanizada, de mat?rias t?xteis, mesmo impregnadas, revestidas ou recobertas, de pl?stico, ou estratificadas com pl?stico ou refor?adas com metal ou com outras mat?rias
II;AUTOPE?AS;70;100700;4016.93.00 4823.90.9;Juntas, gaxetas e outros elementos com fun??o semelhante de veda??o
II;AUTOPE?AS;80;100800;4016.10.10;Partes de ve?culos autom?veis, tratores e m?quinas autopropulsadas
II;AUTOPE?AS;90;100900;4016.99.90 5705.00.00;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins
II;AUTOPE?AS;100;101000;5903.90.00;Tecidos impregnados, revestidos, recobertos ou estratificados, com pl?stico
II;AUTOPE?AS;110;101100;5909.00.00;Mangueiras e tubos semelhantes, de mat?rias t?xteis, mesmo com refor?o ou acess?rios de outras mat?rias
II;AUTOPE?AS;120;101200;6306.1;Encerados e toldos
II;AUTOPE?AS;130;101300;6506.10.00;Capacetes e artefatos de uso semelhante, de prote??o, para uso em motocicletas, inclu?dos ciclomotores
II;AUTOPE?AS;140;101400;6813;Guarni??es de fric??o (por exemplo, placas, rolos, tiras, segmentos, discos, an?is, pastilhas), n?o montadas, para freios, embreagens ou qualquer outro mecanismo de fric??o, ? base de amianto, de outras subst?ncias minerais ou de celulose, mesmo combinadas com t?xteis ou outras mat?rias
II;AUTOPE?AS;150;101500;7007.11.00 7007.21.00;Vidros de dimens?es e formatos que permitam aplica??o automotiva
II;AUTOPE?AS;160;101600;7009.10.00;Espelhos retrovisores
II;AUTOPE?AS;170;101700;7014.00.00;Lentes de far?is, lanternas e outros utens?lios
II;AUTOPE?AS;180;101800;7311.00.00;Cilindro de a?o para GNV (g?s natural veicular)
II;AUTOPE?AS;190;101900;7311.00.00;Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou a?o, exceto o descrito no item 18.0
II;AUTOPE?AS;200;102000;7320;Molas e folhas de molas, de ferro ou a?o
