CFOP;Descri????o Resumida do CFOP;Aplica????o
1101;1.101 - Compra p/ industrializa????o ou produ????o rural;"Compra de mercadoria a ser utilizada em processo de industrializa????o ou produ????o rural, bem como a entrada de mercadoria em estabelecimento industrial ou produtor rural de cooperativa recebida de seus cooperados ou de estabelecimento de outra cooperativa.(DECRETO N?? 28.868, DE 31/01/2006-??? Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)."
1102;1.102 - Compra p/ comercializa????o;Classificam-se neste c??digo as compras de mercadorias a serem comercializadas. Tamb??m ser??o classificadas neste c??digo as entradas de mercadorias em estabelecimento comercial de cooperativa recebidas de seus cooperados ou de estabelecimento de outra cooperativa.
1111;1.111 - Compra p/ industrializa????o de mercadoria recebida anteriormente em consigna????o industrial;Classificam-se neste c??digo as compras efetivas de mercadorias a serem utilizadas em processo de industrializa????o, recebidas anteriormente a t??tulo de consigna????o industrial.
1113;1.113 - Compra p/ comercializa????o, de mercadoria recebida anteriormente em consigna????o mercantil;Classificam-se neste c??digo as compras efetivas de mercadorias recebidas anteriormente a t??tulo de consigna????o mercantil.
1116;1.116 - Compra p/ industrializa????o ou produ????o rural originada de encomenda p/ recebimento futuro;"Compra de mercadoria, a ser utilizada em processo de industrializa????o ou produ????o rural, quando da entrada real da mercadoria, cuja aquisi????o tenha sido classificada no c??digo ???1.922 ??? Lan??amento efetuado a t??tulo de simples faturamento decorrente de compra para recebimento futuro???.(DECRETO N?? 28.868, DE 31/01/2006-??? Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)."
1117;1.117 - Compra p/ comercializa????o originada de encomenda p/ recebimento futuro;Classificam-se neste c??digo as compras de mercadorias a serem comercializadas, quando da entrada real da mercadoria, cuja aquisi????o tenha sido classificada no c??digo 1.922 - Lan??amento efetuado a t??tulo de simples faturamento decorrente de compra para recebimento futuro.
1118;1.118 - Compra de mercadoria p/ comercializa????o pelo adquirente origin??rio, entregue pelo vendedor remetente ao destinat??rio, em venda ?? ordem.;Classificam-se neste c??digo as compras de mercadorias j?? comercializadas, que, sem transitar pelo estabelecimento do adquirente origin??rio, sejam entregues pelo vendedor remetente diretamente ao destinat??rio, em opera????o de venda ?? ordem, cuja venda seja classificada, pelo adquirente origin??rio, no c??digo 5.120 - Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinat??rio pelo vendedor remetente, em venda ?? ordem.
1120;1.120 - Compra p/ industrializa????o, em venda ?? ordem, j?? recebida do vendedor remetente;Classificam-se neste c??digo as compras de mercadorias a serem utilizadas em processo de industrializa????o, em vendas ?? ordem, j?? recebidas do vendedor remetente, por ordem do adquirente origin??rio.
1121;1.121 - Compra p/ comercializa????o, em venda ?? ordem, j?? recebida do vendedor remetente;Classificam-se neste c??digo as compras de mercadorias a serem comercializadas, em vendas ?? ordem, j?? recebidas do vendedor remetente por ordem do adquirente origin??rio.
1122;1.122 - Compra p/ industrializa????o em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente;Classificam-se neste c??digo as compras de mercadorias a serem utilizadas em processo de industrializa????o, remetidas pelo fornecedor para o industrializador sem que a mercadoria tenha transitado pelo estabelecimento do adquirente.
1124;1.124 - Industrializa????o efetuada por outra empresa;Classificam-se neste c??digo as entradas de mercadorias industrializadas por terceiros, compreendendo os valores referentes aos servi??os prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrializa????o efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada dever?? ser classificada nos c??digos 1.551 - Compra de bem para o ativo imobilizado ou 1.556 - Compra de material para uso ou consumo.
1125;1.125 - Industrializa????o efetuada por outra empresa quando a mercadoria remetida p/ utiliza????o no processo de industrializa????o n??o transitou pelo estabelecimento adquirente da mercadoria;Classificam-se neste c??digo as entradas de mercadorias industrializadas por outras empresas, em que as mercadorias remetidas para utiliza????o no processo de industrializa????o n??o transitaram pelo estabelecimento do adquirente das mercadorias, compreendendo os valores referentes aos servi??os prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrializa????o efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada dever?? ser classificada nos c??digos 1.551 - Compra de bem para o ativo imobilizado ou 1.556 - Compra de material para uso ou consumo.
1126;1.126 - Compra p/ utiliza????o na presta????o de servi??o sujeita ao ICMS;Classificam-se neste c??digo as entradas de mercadorias a serem utilizadas nas presta????es de servi??os sujeitas ao ICMS. (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) efeitos a partir de 1?? de janeiro de 2011- DECRETO 36.465/2011
1128;1.128 - Compra p/ utiliza????o na presta????o de servi??o sujeita ao ISSQN;Classificam-se neste c??digo as entradas de mercadorias a serem utilizadas nas presta????es de servi??os sujeitas ao ISSQN. (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) efeitos a partir de 1?? de janeiro de 2011 - DECRETO 36.465/2011.
