NCM;Categoria;Descri????o;IPI;In??cio da Vig??ncia;Fim da Vig??ncia;uTrib;Descri????o da uTrib;GTIN Produ????o;GTIN Homologa????o;Observa????o
1012100;ANIMAIS VIVOS;01012100 - CAVALOS REPRODUTORES DE RA??A PURA;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1012900;ANIMAIS VIVOS;01012900 - OUTROS CAVALOS VIVOS;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1013000;ANIMAIS VIVOS;01013000 - ASININOS VIVOS;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1019000;ANIMAIS VIVOS;01019000 - OUTROS MUARES VIVOS;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1022110;ANIMAIS VIVOS;01022110 - BOVINOS DOM??ST.REPROD.D/RA??A PURA,PRENHES OU C/CRIA AO;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1022190;ANIMAIS VIVOS;01022190 - OUTROS BOVINOS REPRODUTORES DE RA??A PURA;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1022911;ANIMAIS VIVOS;01022911 - OUTROS BOVINOS P/REPRODU????O, PRENHES OU C/CRIA AO P??;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1022919;ANIMAIS VIVOS;01022919 - OUTROS BOVINOS DOM??STICOS PARA REPRODU????O;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1022990;ANIMAIS VIVOS;01022990 - OUTROS BOVINOS DOM??STICOS VIVOS;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1023110;ANIMAIS VIVOS;01023110 - B??FALOS REPROD.DE RA??A PURA, PRENHES OU C/CRIA AO P??;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1023190;ANIMAIS VIVOS;01023190 - OUTROS B??FALOS REPRODUTORES DE RA??A PURA;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1023911;ANIMAIS VIVOS;01023911 - OUTROS B??FALOS P/REPRODU????O, PRENHES OU C/CRIA AO P??;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1023919;ANIMAIS VIVOS;01023919 - OUTROS B??FALOS PARA REPRODU????O;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1023990;ANIMAIS VIVOS;01023990 - OUTROS B??FALOS VIVOS;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1029000;ANIMAIS VIVOS;01029000 - OUTROS ANIMAIS VIVOS DA ESP??CIE BOVINA;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1031000;ANIMAIS VIVOS;01031000 - REPRODUTORES DA ESP??CIE SU??NA DE RA??A PURA;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1039100;ANIMAIS VIVOS;01039100 - OUTROS SU??NOS REPROD.PESO INFERIOR 50 KG;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1039200;ANIMAIS VIVOS;01039200 - OUTS.SU??NOS REPROD.PESO IGUAL OU SUP 50 KG;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1041011;ANIMAIS VIVOS;01041011 - OVINOS REP.RA??A PURA,PRENHE OU C/CRIA AO P??;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1041019;ANIMAIS VIVOS;01041019 - OUTROS OVINOS REPRODUTORES DE RA??A PURA;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1041090;ANIMAIS VIVOS;01041090 - OUTROS ANIMAIS DA ESP??CIES OVINAS;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1042010;ANIMAIS VIVOS;01042010 - CAPRINOS REPRODUTORES DE RA??A PURA;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1042090;ANIMAIS VIVOS;01042090 - OUTS.CAPRINOS REPRODUTORES DE RA??A PURA;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1051110;ANIMAIS VIVOS;01051110 - GALO E GALINHA REP.RA??A PUR/ HIBRI.?? SUP.185G;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1051190;ANIMAIS VIVOS;01051190 - OUTROS GALOS E GALINHAS N??O SUPERIOR A 185G;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1051200;ANIMAIS VIVOS;01051200 - PERUAS E PERUS, PESO N??O SUPERIOR A 185G;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
1051300;ANIMAIS VIVOS;01051300 - PATOS DOM??STICOS, VIVOS DE PESO INFERIOR A 185G;NT;01/01/2016;;UN;UNIDADE;11/03/2019;01/10/2018;
